Nomor Kontrak,Nama Vendor,Jenis Pengadaan,Durasi Kontrak (hari),HPS,Risk Level,Priority,Predicted Duration
PK-26300,PD Usamah Wibisono Tbk,Pengadaan Barang,50,4509896298,Tinggi,Penting,10 hari
PK-14717,PD Prasetya Pratama Tbk,Lisensi & Perangkat Lunak,65,4872090688,Tinggi,Penting,25 hari
PK-16048,CV Jailani Simbolon,Pengadaan Jasa,38,4187962208,Tinggi,Penting,-2 hari
PK-49109,Perum Januar,Pengadaan Barang,55,2699189979,Tinggi,Penting,15 hari
PK-49643,UD Sihombing Siregar (Persero) Tbk,Pengadaan Barang,192,"888923668,5",Sedang,Penting,152 hari
PK-24889,CV Jailani Simbolon,Jasa Konsultansi,35,"904993707,3",Sedang,Penting,-5 hari
PK-13450,CV Rajasa Setiawan Tbk,Pengadaan Jasa,39,4788591173,Tinggi,Penting,-1 hari
PK-93613,Perum Utami (Persero) Tbk,Pengadaan Barang,221,2994976520,Tinggi,Penting,181 hari
PK-27074,PD Ardianto Ardianto,Pengadaan Jasa,317,"493151840,6",Rendah,Penting,277 hari
PK-31743,PD Halimah,Jasa Konsultansi,285,3913405435,Tinggi,Penting,245 hari
PK-93192,UD Maheswara Prastuti,Lisensi & Perangkat Lunak,173,"873641942,4",Sedang,Penting,133 hari
PK-42409,PD Laksita (Persero) Tbk,Jasa Konsultansi,264,"661154796,1",Sedang,Penting,224 hari
PK-53019,PD Laksmiwati Haryanto,Pengadaan Barang,282,4716367781,Tinggi,Penting,242 hari
PK-71213,PD Sihombing Irawan,Lisensi & Perangkat Lunak,197,2879263984,Tinggi,Penting,157 hari
PK-31092,Perum Waluyo (Persero) Tbk,Lisensi & Perangkat Lunak,79,1632906942,Tinggi,Penting,39 hari
PK-9151,PT Mardhiyah Nurdiyanti (Persero) Tbk,Lisensi & Perangkat Lunak,331,2076238544,Tinggi,Penting,291 hari
PK-82100,UD Lailasari Zulaika (Persero) Tbk,Pengadaan Jasa,357,4700726543,Tinggi,Penting,317 hari
PK-11000,Perum Januar,Pengadaan Barang,224,"502677953,1",Sedang,Penting,184 hari
PK-47817,CV Utama Tbk,Pengadaan Barang,55,3887982736,Tinggi,Penting,15 hari
PK-39079,PD Sihotang (Persero) Tbk,Pengembangan Sistem,273,1152684025,Tinggi,Penting,233 hari
PK-24225,PT Mandasari,Pengadaan Barang,196,4038565829,Tinggi,Penting,156 hari
PK-67896,UD Iswahyudi Nababan,Pengadaan Jasa,181,2135770825,Tinggi,Penting,141 hari
PK-94378,Perum Halim Gunawan,Pengadaan Jasa,223,2935370014,Tinggi,Penting,183 hari
PK-20130,UD Uwais Utama,Lisensi & Perangkat Lunak,132,1576594327,Tinggi,Penting,92 hari
PK-72894,CV Winarno Samosir (Persero) Tbk,Jasa Konsultansi,232,3817460308,Tinggi,Penting,192 hari
PK-57129,PT Simbolon Rahmawati Tbk,Pengadaan Jasa,321,3321163728,Tinggi,Penting,281 hari
PK-44240,UD Maheswara Prastuti,Pengadaan Jasa,359,3672500922,Tinggi,Penting,319 hari
PK-28202,Perum Mandala Permadi,Pengembangan Sistem,64,3628984594,Tinggi,Penting,24 hari
PK-79350,CV Andriani Latupono,Pengembangan Sistem,266,1603430708,Tinggi,Penting,226 hari
PK-72503,PT Pratama Hidayat (Persero) Tbk,Lisensi & Perangkat Lunak,62,3924326446,Tinggi,Penting,22 hari
PK-63879,PD Dongoran Anggriawan (Persero) Tbk,Pengadaan Barang,304,3280474907,Tinggi,Penting,264 hari
PK-13358,UD Haryanti,Pengadaan Barang,71,"209842155,4",Rendah,Penting,31 hari
PK-85539,PD Yulianti Nababan,Pengadaan Jasa,158,2878991453,Tinggi,Penting,118 hari
PK-14890,PT Saputra Hasanah,Pengadaan Barang,37,2176899871,Tinggi,Penting,-3 hari
PK-77971,CV Rahmawati Marpaung Tbk,Pengembangan Sistem,291,1882746784,Tinggi,Penting,251 hari
PK-85141,Perum Nuraini Namaga (Persero) Tbk,Pengadaan Jasa,336,1183222537,Tinggi,Penting,296 hari
PK-62751,PT Anggraini Permadi Tbk,Pengadaan Barang,263,"375214618,2",Rendah,Penting,223 hari
PK-61350,CV Rajasa Setiawan Tbk,Pengembangan Sistem,302,4530026121,Tinggi,Penting,262 hari
PK-66357,UD Maheswara Prastuti,Lisensi & Perangkat Lunak,189,1630364829,Tinggi,Penting,149 hari
PK-29751,CV Widiastuti Maulana,Pengadaan Barang,123,4518732159,Tinggi,Penting,83 hari
PK-83856,PT Nashiruddin Tbk,Pengadaan Jasa,33,1177100364,Tinggi,Penting,-7 hari
PK-30410,PD Mayasari Oktaviani Tbk,Lisensi & Perangkat Lunak,309,939599385,Sedang,Penting,269 hari
PK-95524,Perum Rahayu Firgantoro,Jasa Konsultansi,330,2127035337,Tinggi,Penting,290 hari
PK-97127,PD Sihotang (Persero) Tbk,Pengadaan Jasa,112,3239084214,Tinggi,Penting,72 hari
PK-71363,Perum Waluyo (Persero) Tbk,Pengembangan Sistem,273,4100588799,Tinggi,Penting,233 hari
PK-65637,PT Utama (Persero) Tbk,Lisensi & Perangkat Lunak,32,4315718890,Tinggi,Penting,-8 hari
PK-87545,Perum Nababan Haryanti,Pengadaan Jasa,203,2731107011,Tinggi,Penting,163 hari
PK-83188,PT Hariyah Tbk,Pengembangan Sistem,111,"928868214,8",Sedang,Penting,71 hari
PK-41218,Perum Utami (Persero) Tbk,Lisensi & Perangkat Lunak,82,1597951370,Tinggi,Penting,42 hari
PK-66106,Perum Santoso,Pengadaan Barang,53,3509783266,Tinggi,Penting,13 hari
PK-99283,PD Laksita (Persero) Tbk,Lisensi & Perangkat Lunak,204,2326103679,Tinggi,Penting,164 hari
PK-34858,UD Prasasta Wahyudin Tbk,Lisensi & Perangkat Lunak,318,4976138634,Tinggi,Penting,278 hari
PK-74753,UD Pradana Latupono Tbk,Pengembangan Sistem,244,3556961123,Tinggi,Penting,204 hari
PK-81094,Perum Rahayu Firgantoro,Pengadaan Jasa,314,4106530277,Tinggi,Penting,274 hari
PK-71418,CV Yolanda Wijaya,Pengembangan Sistem,82,1864915981,Tinggi,Penting,42 hari
PK-54487,PT Nainggolan Hakim,Pengadaan Barang,113,4875209319,Tinggi,Penting,73 hari
PK-82174,CV Jailani Simbolon,Lisensi & Perangkat Lunak,66,1930133759,Tinggi,Penting,26 hari
PK-63264,PT Halimah,Jasa Konsultansi,357,"868612936,2",Sedang,Penting,317 hari
PK-40048,PD Usamah Wibisono Tbk,Pengadaan Jasa,207,4744385794,Tinggi,Penting,167 hari
PK-89164,UD Prasasta Wahyudin Tbk,Pengembangan Sistem,124,1870436729,Tinggi,Penting,84 hari
PK-2689,UD Uwais Utama,Pengadaan Barang,252,2508551743,Tinggi,Penting,212 hari
PK-68142,PD Yulianti Nababan,Lisensi & Perangkat Lunak,162,4258819493,Tinggi,Penting,122 hari
PK-118,UD Samosir Prayoga Tbk,Jasa Konsultansi,62,1848626143,Tinggi,Penting,22 hari
PK-38832,UD Tamba Tbk,Jasa Konsultansi,34,"705748755,5",Sedang,Penting,-6 hari
PK-8987,CV Widodo Winarsih,Jasa Konsultansi,222,1131032950,Tinggi,Penting,182 hari
PK-59969,PT Damanik (Persero) Tbk,Jasa Konsultansi,50,2337755254,Tinggi,Penting,10 hari
PK-37107,UD Jailani Tbk,Pengadaan Jasa,57,"909133149,5",Sedang,Penting,17 hari
PK-8532,Perum Yolanda (Persero) Tbk,Pengembangan Sistem,352,2396583236,Tinggi,Penting,312 hari
PK-80909,Perum Utama (Persero) Tbk,Pengembangan Sistem,82,3367617603,Tinggi,Penting,42 hari
PK-24273,PD Thamrin (Persero) Tbk,Pengadaan Jasa,171,3223054120,Tinggi,Penting,131 hari
PK-67520,Perum Kusmawati Prayoga Tbk,Pengembangan Sistem,331,4060944000,Tinggi,Penting,291 hari
PK-46815,CV Widodo Winarsih,Pengadaan Barang,277,4065910653,Tinggi,Penting,237 hari
PK-65377,PD Ardianto Ardianto,Jasa Konsultansi,361,4127853879,Tinggi,Penting,321 hari
PK-67084,UD Lailasari Zulaika (Persero) Tbk,Jasa Konsultansi,138,4081529713,Tinggi,Penting,98 hari
PK-96958,CV Gunarto (Persero) Tbk,Pengembangan Sistem,157,2478091299,Tinggi,Penting,117 hari
PK-69514,UD Jailani Tbk,Lisensi & Perangkat Lunak,237,1021274203,Tinggi,Penting,197 hari
PK-6577,Perum Megantara,Pengadaan Jasa,256,3467843372,Tinggi,Penting,216 hari
PK-25371,PT Nashiruddin Tbk,Pengembangan Sistem,52,1837560840,Tinggi,Penting,12 hari
PK-86619,PT Namaga (Persero) Tbk,Pengembangan Sistem,244,1470591339,Tinggi,Penting,204 hari
PK-11856,PT Latupono Tbk,Lisensi & Perangkat Lunak,106,"92276227,73",Rendah,Penting,66 hari
PK-22641,PT Andriani,Pengembangan Sistem,91,3690336641,Tinggi,Penting,51 hari
PK-25764,CV Latupono (Persero) Tbk,Jasa Konsultansi,343,3060215193,Tinggi,Penting,303 hari
PK-92340,UD Jailani Tbk,Lisensi & Perangkat Lunak,221,2960978141,Tinggi,Penting,181 hari
PK-2555,CV Widodo Winarsih,Jasa Konsultansi,320,1843741559,Tinggi,Penting,280 hari
PK-28577,PT Utama (Persero) Tbk,Jasa Konsultansi,51,3465843587,Tinggi,Penting,11 hari
PK-61986,PD Dongoran Anggriawan (Persero) Tbk,Pengadaan Jasa,258,3286166852,Tinggi,Penting,218 hari
PK-81989,PD Lazuardi Tbk,Lisensi & Perangkat Lunak,151,"400338328,7",Rendah,Penting,111 hari
PK-76068,Perum Yolanda (Persero) Tbk,Pengadaan Barang,236,"182083846,4",Rendah,Penting,196 hari
PK-7669,PT Hastuti Permata,Pengadaan Jasa,87,1455231545,Tinggi,Penting,47 hari
PK-21967,PD Laksita Sinaga Tbk,Jasa Konsultansi,305,3051352842,Tinggi,Penting,265 hari
PK-17728,PD Sihotang (Persero) Tbk,Pengembangan Sistem,284,4463525391,Tinggi,Penting,244 hari
PK-73633,UD Puspita Tbk,Pengadaan Barang,51,3351555844,Tinggi,Penting,11 hari
PK-83105,Perum Santoso,Pengembangan Sistem,119,4614720365,Tinggi,Penting,79 hari
PK-75482,PD Laksita Sinaga Tbk,Pengadaan Jasa,250,3939057083,Tinggi,Penting,210 hari
PK-769,CV Rahmawati Marpaung Tbk,Pengembangan Sistem,117,2495193197,Tinggi,Penting,77 hari
PK-36609,UD Prasasta Wahyudin Tbk,Pengadaan Jasa,104,4033054711,Tinggi,Penting,64 hari
PK-52046,PT Wibisono Winarsih (Persero) Tbk,Pengadaan Barang,334,2075185066,Tinggi,Penting,294 hari
PK-10949,PD Halimah,Pengadaan Barang,234,3904870585,Tinggi,Penting,194 hari
PK-40707,Perum Nababan Haryanti,Pengadaan Jasa,88,1440287785,Tinggi,Penting,48 hari
PK-36530,Perum Mandala Permadi,Pengadaan Jasa,152,4348374217,Tinggi,Penting,112 hari
PK-91612,CV Hidayat Latupono (Persero) Tbk,Jasa Konsultansi,305,2029820643,Tinggi,Penting,265 hari
PK-28629,CV Winarno Samosir (Persero) Tbk,Pengadaan Barang,300,2268397562,Tinggi,Penting,260 hari
PK-25268,PD Laksmiwati Haryanto,Pengembangan Sistem,255,4616467790,Tinggi,Penting,215 hari
PK-60589,PT Nashiruddin Tbk,Lisensi & Perangkat Lunak,296,"215017693,3",Rendah,Penting,256 hari
PK-80136,PT Mandasari,Pengadaan Barang,87,"56084811,11",Rendah,Penting,47 hari
PK-78276,UD Sihombing Siregar (Persero) Tbk,Jasa Konsultansi,70,1931555748,Tinggi,Penting,30 hari
PK-14656,Perum Rahayu Firgantoro,Pengembangan Sistem,166,4923942193,Tinggi,Penting,126 hari
PK-81214,UD Iswahyudi Nababan,Pengembangan Sistem,246,2022109502,Tinggi,Penting,206 hari
PK-47407,Perum Rahayu Firgantoro,Pengembangan Sistem,36,2304020267,Tinggi,Penting,-4 hari
PK-61272,PT Jailani,Pengembangan Sistem,365,1961561499,Tinggi,Penting,325 hari
PK-14946,Perum Winarno,Jasa Konsultansi,132,4985970163,Tinggi,Penting,92 hari
PK-62924,UD Habibi Namaga,Lisensi & Perangkat Lunak,44,4926685990,Tinggi,Penting,4 hari
PK-45132,Perum Waluyo (Persero) Tbk,Lisensi & Perangkat Lunak,300,3832137409,Tinggi,Penting,260 hari
PK-35391,PT Mandasari,Jasa Konsultansi,127,1134842312,Tinggi,Penting,87 hari
PK-18070,UD Samosir Prayoga Tbk,Pengadaan Barang,39,4027439807,Tinggi,Penting,-1 hari
PK-28373,Perum Laksita (Persero) Tbk,Pengadaan Barang,177,2506416454,Tinggi,Penting,137 hari
PK-84293,PD Sihombing Irawan,Lisensi & Perangkat Lunak,202,3365259903,Tinggi,Penting,162 hari
PK-51882,UD Uwais Utama,Lisensi & Perangkat Lunak,167,2156394839,Tinggi,Penting,127 hari
PK-89149,PT Hastuti Permata,Pengadaan Jasa,36,4313081438,Tinggi,Penting,-4 hari
PK-46473,Perum Utami,Pengadaan Jasa,179,3217926593,Tinggi,Penting,139 hari
PK-4848,PT Suryono,Pengadaan Barang,193,4032824944,Tinggi,Penting,153 hari
PK-11248,PD Laksita Sinaga Tbk,Lisensi & Perangkat Lunak,314,3752529624,Tinggi,Penting,274 hari
PK-96314,PT Simbolon Rahmawati Tbk,Pengembangan Sistem,228,4735057080,Tinggi,Penting,188 hari
PK-1213,PT Mahendra Usada,Pengadaan Jasa,165,2451813723,Tinggi,Penting,125 hari
PK-81674,Perum Rahayu Firgantoro,Jasa Konsultansi,144,"711423008,2",Sedang,Penting,104 hari
PK-85843,Perum Nuraini Namaga (Persero) Tbk,Jasa Konsultansi,189,1504204251,Tinggi,Penting,149 hari
PK-95334,PT Jailani Hasanah Tbk,Pengadaan Jasa,297,"550841469,6",Sedang,Penting,257 hari
PK-91299,PD Laksita (Persero) Tbk,Pengadaan Jasa,160,"854028341,4",Sedang,Penting,120 hari
PK-78206,Perum Laksita (Persero) Tbk,Pengadaan Barang,308,"400958931,4",Rendah,Penting,268 hari
PK-31776,Perum Hidayat Permata (Persero) Tbk,Pengadaan Jasa,122,3022070374,Tinggi,Penting,82 hari
PK-25462,UD Haryanti,Pengadaan Jasa,46,3925866457,Tinggi,Penting,6 hari
PK-13773,PD Yulianti Nababan,Pengadaan Jasa,335,4373866414,Tinggi,Penting,295 hari
PK-34642,PT Suryono,Lisensi & Perangkat Lunak,181,3116291522,Tinggi,Penting,141 hari
PK-53399,CV Gunarto (Persero) Tbk,Jasa Konsultansi,34,"102377750,2",Rendah,Penting,-6 hari
PK-96502,UD Prasasta Wahyudin Tbk,Pengembangan Sistem,54,2027058878,Tinggi,Penting,14 hari
PK-28983,UD Uwais Utama,Pengadaan Jasa,289,1833351380,Tinggi,Penting,249 hari
PK-74398,CV Winarno Samosir (Persero) Tbk,Pengadaan Jasa,318,1190965642,Tinggi,Penting,278 hari
PK-496,PD Mayasari Oktaviani Tbk,Pengadaan Jasa,235,2251394557,Tinggi,Penting,195 hari
PK-15464,PT Pratama Hidayat (Persero) Tbk,Pengadaan Jasa,117,3092552715,Tinggi,Penting,77 hari
PK-94437,PT Nainggolan Hakim,Jasa Konsultansi,144,"51423944,03",Rendah,Penting,104 hari
PK-36214,PT Jailani,Pengadaan Barang,335,1544354690,Tinggi,Penting,295 hari
PK-76528,PD Ardianto Ardianto,Pengembangan Sistem,306,"224616388,4",Rendah,Penting,266 hari
PK-60281,UD Prasasta Wahyudin Tbk,Pengadaan Barang,208,4084313641,Tinggi,Penting,168 hari
PK-9885,PD Ardianto Ardianto,Lisensi & Perangkat Lunak,113,3895337065,Tinggi,Penting,73 hari
PK-49226,PD Laksita Sinaga Tbk,Pengembangan Sistem,95,2200738293,Tinggi,Penting,55 hari
PK-41898,CV Handayani (Persero) Tbk,Lisensi & Perangkat Lunak,307,1052249916,Tinggi,Penting,267 hari
PK-40803,PD Lazuardi Tbk,Pengadaan Barang,355,3102244042,Tinggi,Penting,315 hari
PK-4691,CV Prasetyo,Pengembangan Sistem,308,1388618103,Tinggi,Penting,268 hari
PK-49602,PT Latupono Tbk,Pengembangan Sistem,274,4688289601,Tinggi,Penting,234 hari
PK-66688,PD Dongoran Anggriawan (Persero) Tbk,Pengadaan Jasa,192,4821029697,Tinggi,Penting,152 hari
PK-88901,Perum Utami,Pengadaan Barang,348,4000451775,Tinggi,Penting,308 hari
PK-47269,UD Maheswara Prastuti,Pengadaan Jasa,56,4623404877,Tinggi,Penting,16 hari
PK-38124,CV Latupono (Persero) Tbk,Pengadaan Barang,344,4817170937,Tinggi,Penting,304 hari
PK-86561,PT Nashiruddin Tbk,Pengadaan Jasa,327,3967845881,Tinggi,Penting,287 hari
PK-57743,PT Mandasari,Jasa Konsultansi,187,3072697442,Tinggi,Penting,147 hari
PK-85496,PD Habibi,Pengembangan Sistem,61,4884648459,Tinggi,Penting,21 hari
PK-60640,CV Latupono (Persero) Tbk,Pengembangan Sistem,124,3483147193,Tinggi,Penting,84 hari
PK-26214,UD Santoso Puspita (Persero) Tbk,Pengadaan Jasa,114,3755542721,Tinggi,Penting,74 hari
PK-979,CV Gunarto (Persero) Tbk,Pengembangan Sistem,204,3546232068,Tinggi,Penting,164 hari
PK-31435,UD Tamba Tbk,Jasa Konsultansi,103,2062425040,Tinggi,Penting,63 hari
PK-95151,PD Dongoran Anggriawan (Persero) Tbk,Pengadaan Barang,170,"756646119,8",Sedang,Penting,130 hari
PK-59043,Perum Utama (Persero) Tbk,Pengadaan Jasa,111,"214716468,9",Rendah,Penting,71 hari
PK-70427,PD Ardianto Ardianto,Jasa Konsultansi,109,3634281764,Tinggi,Penting,69 hari
PK-70421,PD Dongoran Widodo,Lisensi & Perangkat Lunak,241,4005581857,Tinggi,Penting,201 hari
PK-82286,Perum Aryani,Pengadaan Barang,353,2375391047,Tinggi,Penting,313 hari
PK-3665,UD Iswahyudi Nababan,Lisensi & Perangkat Lunak,291,"434720847,6",Rendah,Penting,251 hari
PK-88393,PD Sihotang (Persero) Tbk,Lisensi & Perangkat Lunak,314,"538875066,6",Sedang,Penting,274 hari
PK-53293,Perum Latupono Maryadi,Pengembangan Sistem,279,"553514504,2",Sedang,Penting,239 hari
PK-39870,UD Lailasari,Pengadaan Jasa,127,"977979245,1",Sedang,Penting,87 hari
PK-52665,PT Nashiruddin Tbk,Jasa Konsultansi,219,"483922973,9",Rendah,Penting,179 hari
PK-55181,CV Narpati Tbk,Pengadaan Barang,237,1884407909,Tinggi,Penting,197 hari
PK-53523,CV Andriani Latupono,Lisensi & Perangkat Lunak,93,1961632730,Tinggi,Penting,53 hari
PK-18159,Perum Yolanda (Persero) Tbk,Pengadaan Barang,283,1144524788,Tinggi,Penting,243 hari
PK-54860,CV Latupono (Persero) Tbk,Jasa Konsultansi,243,4858680096,Tinggi,Penting,203 hari
PK-82207,Perum Rahayu Firgantoro,Pengembangan Sistem,334,3373961522,Tinggi,Penting,294 hari
PK-7853,PT Zulkarnain,Pengadaan Jasa,242,4718757590,Tinggi,Penting,202 hari
PK-25092,PD Simbolon Rahayu,Pengadaan Jasa,301,1109498537,Tinggi,Penting,261 hari
PK-96264,Perum Fujiati Suartini,Lisensi & Perangkat Lunak,349,1907924786,Tinggi,Penting,309 hari
PK-11653,CV Yolanda Wijaya,Jasa Konsultansi,43,2554595932,Tinggi,Penting,3 hari
PK-36115,PD Simbolon Rahayu,Pengembangan Sistem,43,2654156391,Tinggi,Penting,3 hari
PK-12772,PD Dongoran Widodo,Pengembangan Sistem,292,3299165578,Tinggi,Penting,252 hari
PK-58960,Perum Fujiati Suartini,Pengadaan Jasa,111,4309476930,Tinggi,Penting,71 hari
PK-54877,UD Lailasari,Lisensi & Perangkat Lunak,224,2911611989,Tinggi,Penting,184 hari
PK-43250,PD Prasetya Pratama Tbk,Pengadaan Jasa,78,4426130450,Tinggi,Penting,38 hari
PK-30742,UD Habibi Namaga,Pengembangan Sistem,38,"867482657,4",Sedang,Penting,-2 hari
PK-83194,UD Haryanti,Lisensi & Perangkat Lunak,131,"139067199,1",Rendah,Penting,91 hari
PK-63804,PT Mahendra Usada,Lisensi & Perangkat Lunak,102,"672259225,8",Sedang,Penting,62 hari
PK-56983,Perum Rahayu Firgantoro,Pengadaan Jasa,223,1192205543,Tinggi,Penting,183 hari
PK-16995,PT Mahendra Usada,Pengadaan Jasa,176,4217683711,Tinggi,Penting,136 hari
PK-10775,Perum Januar,Jasa Konsultansi,357,4856109410,Tinggi,Penting,317 hari
PK-90161,UD Sihombing Siregar (Persero) Tbk,Jasa Konsultansi,140,3496574382,Tinggi,Penting,100 hari
PK-265,PD Dongoran Widodo,Pengadaan Barang,125,1103046612,Tinggi,Penting,85 hari
PK-30309,PT Pratama Hidayat (Persero) Tbk,Pengembangan Sistem,69,1021590174,Tinggi,Penting,29 hari
PK-99195,CV Rajasa Setiawan Tbk,Pengadaan Barang,214,4632214475,Tinggi,Penting,174 hari
PK-80077,Perum Nuraini Namaga (Persero) Tbk,Pengadaan Barang,42,1734207836,Tinggi,Penting,2 hari
PK-84419,PT Wibisono Winarsih (Persero) Tbk,Lisensi & Perangkat Lunak,71,4007198564,Tinggi,Penting,31 hari
PK-92521,UD Iswahyudi Nababan,Jasa Konsultansi,223,"702263331,3",Sedang,Penting,183 hari
PK-9890,Perum Utami,Jasa Konsultansi,175,"773578607,6",Sedang,Penting,135 hari
PK-42052,Perum Kusmawati Prayoga Tbk,Pengadaan Barang,196,"409189488,1",Rendah,Penting,156 hari
PK-13377,UD Pradana Latupono Tbk,Lisensi & Perangkat Lunak,247,"554825759,3",Sedang,Penting,207 hari
PK-82303,PT Nainggolan Hakim,Pengadaan Jasa,127,1752512754,Tinggi,Penting,87 hari
PK-60957,CV Maryadi (Persero) Tbk,Pengadaan Barang,41,4568759314,Tinggi,Penting,1 hari
PK-79545,PT Saputra Hasanah,Lisensi & Perangkat Lunak,58,4580143911,Tinggi,Penting,18 hari
PK-80459,PT Jailani,Lisensi & Perangkat Lunak,122,2524831558,Tinggi,Penting,82 hari
PK-20415,Perum Januar,Jasa Konsultansi,32,2177936572,Tinggi,Penting,-8 hari
PK-10405,UD Lailasari Zulaika (Persero) Tbk,Pengadaan Barang,354,1056103192,Tinggi,Penting,314 hari
PK-10039,Perum Utama (Persero) Tbk,Pengembangan Sistem,36,1314173956,Tinggi,Penting,-4 hari
PK-50632,PT Hariyah Tbk,Pengembangan Sistem,255,3374662262,Tinggi,Penting,215 hari
PK-62751,CV Handayani (Persero) Tbk,Pengadaan Barang,310,"814150767,4",Sedang,Penting,270 hari
PK-16315,PT Utama (Persero) Tbk,Lisensi & Perangkat Lunak,59,3601602967,Tinggi,Penting,19 hari
PK-27521,PD Thamrin (Persero) Tbk,Jasa Konsultansi,186,3512853680,Tinggi,Penting,146 hari
PK-78352,PD Simbolon Rahayu,Pengadaan Barang,130,1352085015,Tinggi,Penting,90 hari
PK-63276,UD Haryanti,Pengadaan Jasa,237,2908863860,Tinggi,Penting,197 hari
PK-81993,Perum Santoso,Pengadaan Barang,362,2618074719,Tinggi,Penting,322 hari
PK-68982,CV Winarno Samosir (Persero) Tbk,Pengembangan Sistem,196,2325560132,Tinggi,Penting,156 hari
PK-11439,PD Laksmiwati Haryanto,Pengadaan Barang,258,3349259961,Tinggi,Penting,218 hari
PK-96669,CV Maryadi (Persero) Tbk,Pengadaan Jasa,72,2723208035,Tinggi,Penting,32 hari
PK-70214,Perum Hidayat Permata (Persero) Tbk,Pengadaan Barang,156,4177241189,Tinggi,Penting,116 hari
PK-75503,PT Nainggolan Hakim,Pengadaan Jasa,95,2883558171,Tinggi,Penting,55 hari
PK-33781,UD Tamba Tbk,Pengadaan Jasa,182,1122944022,Tinggi,Penting,142 hari
PK-10327,UD Prasasta Wahyudin Tbk,Pengadaan Jasa,164,2427789865,Tinggi,Penting,124 hari
PK-88909,CV Andriani Latupono,Pengembangan Sistem,365,1125490347,Tinggi,Penting,325 hari
PK-40223,Perum Yolanda (Persero) Tbk,Lisensi & Perangkat Lunak,310,2239325152,Tinggi,Penting,270 hari
PK-44438,Perum Latupono Maryadi,Lisensi & Perangkat Lunak,69,1175095166,Tinggi,Penting,29 hari
PK-41460,UD Sihombing Siregar (Persero) Tbk,Pengadaan Barang,171,3791822090,Tinggi,Penting,131 hari
PK-64559,PT Latupono Tbk,Lisensi & Perangkat Lunak,177,2350402976,Tinggi,Penting,137 hari
PK-71829,PD Dongoran Widodo,Jasa Konsultansi,300,3125178974,Tinggi,Penting,260 hari
PK-51173,UD Prasasta Wahyudin Tbk,Lisensi & Perangkat Lunak,146,4557633494,Tinggi,Penting,106 hari
PK-77512,Perum Halim Gunawan,Lisensi & Perangkat Lunak,148,4511060606,Tinggi,Penting,108 hari
PK-60574,CV Jailani Simbolon,Pengadaan Barang,358,1276310762,Tinggi,Penting,318 hari
PK-39229,CV Rahmawati Marpaung Tbk,Jasa Konsultansi,89,4995164177,Tinggi,Penting,49 hari
PK-12319,UD Najmudin Tbk,Lisensi & Perangkat Lunak,63,4309130600,Tinggi,Penting,23 hari
PK-33925,CV Utama Tbk,Lisensi & Perangkat Lunak,258,1777384907,Tinggi,Penting,218 hari
PK-47285,UD Maheswara Prastuti,Jasa Konsultansi,127,4583271266,Tinggi,Penting,87 hari
PK-33838,PT Andriani,Pengadaan Jasa,195,2678882778,Tinggi,Penting,155 hari
PK-58085,PD Lazuardi Tbk,Jasa Konsultansi,80,4771279390,Tinggi,Penting,40 hari
PK-14773,PD Ardianto Ardianto,Pengadaan Barang,122,654553533,Sedang,Penting,82 hari
PK-1856,CV Rajasa Setiawan Tbk,Pengadaan Barang,57,2475737435,Tinggi,Penting,17 hari
PK-28767,PT Latupono Tbk,Lisensi & Perangkat Lunak,153,1474709466,Tinggi,Penting,113 hari
PK-12592,Perum Januar,Lisensi & Perangkat Lunak,337,4861702135,Tinggi,Penting,297 hari
PK-28992,CV Jailani Simbolon,Pengadaan Barang,301,2574150043,Tinggi,Penting,261 hari
PK-10207,Perum Utami,Pengadaan Barang,265,3118436281,Tinggi,Penting,225 hari
PK-53906,PT Pratama Hidayat (Persero) Tbk,Pengembangan Sistem,210,2852183532,Tinggi,Penting,170 hari
PK-80370,PD Ardianto Ardianto,Pengembangan Sistem,150,4939737131,Tinggi,Penting,110 hari
PK-33369,Perum Utami,Pengadaan Barang,53,432934144,Rendah,Penting,13 hari
PK-9384,PD Simbolon Rahayu,Jasa Konsultansi,324,1492341945,Tinggi,Penting,284 hari
PK-45204,CV Maryadi (Persero) Tbk,Pengembangan Sistem,213,1180224362,Tinggi,Penting,173 hari
PK-54192,UD Siregar (Persero) Tbk,Jasa Konsultansi,348,1282686341,Tinggi,Penting,308 hari
PK-60008,Perum Winarno,Pengadaan Barang,206,3693475449,Tinggi,Penting,166 hari
PK-27337,PD Usamah Wibisono Tbk,Lisensi & Perangkat Lunak,221,"60669608,64",Rendah,Penting,181 hari
PK-81271,PT Nashiruddin Tbk,Lisensi & Perangkat Lunak,344,3291151031,Tinggi,Penting,304 hari
PK-53954,PD Thamrin (Persero) Tbk,Pengadaan Barang,182,4562844035,Tinggi,Penting,142 hari
PK-25908,UD Samosir Prayoga Tbk,Pengembangan Sistem,48,3331448262,Tinggi,Penting,8 hari
PK-95881,PT Namaga (Persero) Tbk,Pengadaan Barang,215,1735098547,Tinggi,Penting,175 hari
PK-64114,Perum Aryani,Pengadaan Barang,220,4240088959,Tinggi,Penting,180 hari
PK-49826,PT Saputra Hasanah,Pengadaan Barang,210,"101752504,3",Rendah,Penting,170 hari
PK-68512,PD Lazuardi Tbk,Pengadaan Jasa,276,4507003158,Tinggi,Penting,236 hari
PK-72916,Perum Utami,Jasa Konsultansi,30,2392613782,Tinggi,Penting,-10 hari
